track,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,chorus_hit,target
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,spotify:track:1KVczjazCcCCgM3gXXUl47,0.612,0.601,-7.089,0.164,0.168,0,0.117,0.525,223543,66.34093,1
Betcha Can't Do It Like Me,D4L,spotify:track:1KW8BTLgbRCTH8pzUmboLE,0.901,0.359,-8.198,,0.00956,0,0.0752,0.219,220467,26.62713,1
STOOPID,6ix9ine Featuring Bobby Shmurda,spotify:track:1KWLyoPChJrBQFscO8NW8D,0.724,0.685,-4.068,0.321,0.114,0,0.1,0.862,143250,50.46649,1
Love Lockdown,Kanye West,spotify:track:1kxeWHF9PrCVZHvVskv8lg,0.76,0.524,-7.67,0.0323,0.0542,0.5,,0.112,270307,22.69333,1
It's Better to Spend Money,Quiet Company,spotify:track:1KXtzfluasAME3B2OreUPm,0.384,0.916,-6.531,0.1,0.0164,6.38E-05,0.153,0.138,234867,22.26303,0
Adeus - Live for the ladies,Monte La Rue,spotify:track:1KY1GRp3hG8ZZwC4oksowW,0.517,0.674,-8.812,0.101,0.291,0.0529,,0.384,261085,38.41511,0
Sinking Ship,Wild Child,spotify:track:1kYeZHJpBpbGQPlF9jznCs,0.37,0.174,-19.316,,0.95,0.0029,0.11,0.181,247493,55.4484,0
Wonderful,Ja Rule Featuring R. Kelly & Ashanti,spotify:track:1kz1riLYdMZKSpfBLk6Dol,0.638,0.853,-2.312,0.127,0.163,0,0.0428,0.834,270973,29.57919,1
Baltimore Gas & Electric Co.,Raymond Scott,spotify:track:1kZg1WMDj8VJiAGk8dB9bv,0.524,0.462,-14.516,0.0348,0.93,0.4,0.126,0.938,74040,26.11452,0
Song3,Abhi The Nomad,spotify:track:1L0ZzdUQPgWy1wTcLu2bNE,0.959,0.458,-10.388,,0.195,0,0.0617,0.743,176066,44.36987,0
Return to Infinity,Cerebral Fix,spotify:track:1l2cOZbfG64M6nOCJVKAsm,0.0936,0.818,-10.516,0.0597,2.96E-06,0.316,0.118,0.372,290667,25.05955,0
Filthy,Justin Timberlake,spotify:track:1L3NV7VrCiuE8C5QlhdeQL,0.745,0.579,-5.771,,0.0354,0.0118,0.246,0.645,293947,104.98383,1
Rehab,Amy Winehouse,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,0.434,0.872,-2.974,0.0702,0.0473,1.83E-06,0.396,0.732,213760,29.94703,1
I'll Wait For You,Joe Nichols,spotify:track:1L6rE8LIa9G6xl03hdihVh,0.526,0.422,-8.351,0.0277,0.262,0,,0.33,246960,43.20539,1
Boy From School,Hot Chip,spotify:track:1L8H6AuK4TaMmolSL0N0mR,0.631,0.863,-3.963,,0.161,5.85E-05,0.0846,0.497,319653,77.17961,0
Famous,Mason Ramsey,spotify:track:1lasE4yXQmZ5mwWdGQGn8E,0.534,0.815,-2.815,0.0278,0.708,0,0.111,0.564,192520,35.74404,1
"Out of Tune, Out of Time, Out of Here",Roger Eno,spotify:track:1lbKCudtwMM8igNW1HG2SU,0.267,0.0118,-23.415,,0.995,0.904,0.119,0.107,157219,45.87624,0
It's A Business Doing Pleasure With You,Tim McGraw,spotify:track:1LC0yRj180R56aJzb6mC4a,0.643,0.913,-2.949,0.0347,0.0794,0,0.102,0.569,185973,82.7073,1
Kaolo,Yellow Claw,spotify:track:1lC6WJxyW5pH18gZGKU9QJ,0.649,0.952,-3.421,0.104,0.00538,0.783,0.128,0.492,168307,27.14061,0
Break Free,Ariana Grande Featuring Zedd,spotify:track:1LD1TFK08cFUBPmhi3FRAA,0.626,0.769,-3.512,,0.00926,0.00097,0.95,0.255,151583,38.61918,1
Fallin' For You,Colbie Caillat,spotify:track:1le5KVGTF1xWf2aUj7ruLy,0.644,0.834,-6.473,0.0275,0.156,0,0.112,0.593,215547,36.08279,1
Fallin' For You,Colbie Caillat,spotify:track:1le5KVGTF1xWf2aUj7ruLy,0.644,0.834,-6.473,,0.156,0,0.112,0.593,215547,36.08279,1
Harsh Generation,Grendel,spotify:track:1LEVqv0ugmJtrwgZqs10Ix,0.489,0.991,-5.293,,0.00787,0,,0.691,233933,27.26207,0
Ethir Neechal,Anirudh Ravichander,spotify:track:1LFTKTSfPQRM3a8mOvNtnE,0.752,0.97,-4.167,,0.0556,1.21E-06,0.1,0.537,270720,41.02807,0
Til It's Gone,Kenny Chesney,spotify:track:1Lh8n5owE0h0hgqWfqtvuD,0.499,0.822,-7.122,,0.00544,0.000197,0.272,0.499,250533,83.68434,1
That's When I Love You,Phil Vassar,spotify:track:1lhPhB8fdto7hvqCWljRm1,0.552,0.831,-4.819,,0.236,0,,0.604,208880,19.01784,1
You Rock My World,Michael Jackson,spotify:track:1Lhwn4PqeGpM4LTVUowW76,0.854,0.673,-3.132,,0.038,0.000227,0.255,0.955,337733,32.92256,1
Makes Me Wonder,Maroon 5,spotify:track:1lHXlGlve5Zx8tXLhyjDwM,0.803,0.851,-2.429,,0.00485,0.000358,,0.881,211080,17.51926,1
Tango del Pecado,Calle 13,spotify:track:1lICGDyA8x0vNaOrSC3LSW,0.764,0.749,-6.118,,0.34,0,0.104,0.813,253253,48.48545,0
I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,spotify:track:1lih9AUGlOI2qbAkptdBsr,0.731,0.368,-10.38,,0.00544,0,0.193,0.512,265333,26.28335,1
Lean On,Major Lazer & DJ Snake Featuring MO,spotify:track:1Lim1Py7xBgbAkAys3AGAG,0.723,0.809,-3.081,0.0625,0.00346,0.00123,,0.274,176561,50.28368,1
HP,Maluma,spotify:track:1LIqNVhaIgxXUt2eVoIQJ3,0.837,0.791,-3.157,,0.252,1.14E-06,0.188,0.618,184436,50.2676,1
Jaya Jaya (Bombay Sisters) - genre: Vocal; Raga: Nattai; Tala: Adi,Bombay Sisters,spotify:track:1lj8FEyBRQePtbxdvvuN8r,0.367,0.488,-13.215,0.217,0.978,0.472,0.357,0.537,315027,67.07174,0
The Crow & The Butterfly,Shinedown,spotify:track:1LkMC92Zc21awBWSHWZeGp,0.319,0.781,-3.496,,0.0013,0,,0.238,253600,46.90798,1
The Sleep Room,Geneva Jacuzzi,spotify:track:1LkwXd6SUE6RlOdsTuXsKV,0.772,0.401,-8.563,,0.000237,0.664,0.0949,0.905,178493,23.36339,0
My Church,Maren Morris,spotify:track:1LM5zQv5pBKPyO7rm7Uz6U,0.517,0.743,-4.336,0.0363,0.243,3.36E-06,,0.664,197931,85.79334,1
Get By,Talib Kweli,spotify:track:1LM6EReMkAxuDXDF26ekl2,0.662,0.928,-4.688,0.377,0.00324,0,,0.775,227427,39.67826,1
Whistle While You Twurk,Ying Yang Twins,spotify:track:1LMAQunVS6Dq8wEqQnsL8Y,0.935,0.608,-7.236,0.085,0.00155,0,0.342,0.0664,265440,25.26569,1
Payphone,Maroon 5 Featuring Wiz Khalifa,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,0.739,0.756,-4.828,,0.0136,0,0.37,0.523,231387,54.19415,1
Bled White,Novembers Doom,spotify:track:1lmZ4fxvQi4WqDLBnarvXe,0.49,0.987,-4.72,0.114,3.30E-05,0.241,,0.0757,408813,43.36802,0
Can't Shake You,Gloriana,spotify:track:1lNl7zRexUwxQ20OKONF3A,0.651,0.696,-6.611,0.0331,0.247,0,0.114,0.441,266973,47.49924,1
Shake Senora,Pitbull Featuring T-Pain & Sean Paul,spotify:track:1LomM3L6atrf79ZL7nHDp4,0.685,0.944,-5.19,0.34,0.134,0,0.362,0.543,214827,38.50058,1
Shake,Ying Yang Twins Featuring Pitbull,spotify:track:1LomM3L6atrf79ZL7nHDp4,0.685,0.944,-5.19,,0.134,0,0.362,0.543,214827,38.50058,1
He Didn't Have To Be,Brad Paisley,spotify:track:1LONTBZZRxDVx4wEvdcCLd,0.476,0.443,-7.563,0.0282,0.105,7.97E-06,0.123,0.165,282227,39.81799,1
Hands To Myself,Selena Gomez,spotify:track:1LoriJC05IrHIDwj3q0KC1,0.811,0.499,-7.161,,0.0147,2.44E-06,,0.466,200680,56.37931,1
Got Your Back,T.I. Featuring Keri Hilson,spotify:track:1lQCuKjONE0qcCrh3Wd3Ik,0.519,0.81,-5.629,0.179,0.0196,0,0.163,0.515,221013,43.25428,1
HyperParadise - Flume Remix,Hermitude,spotify:track:1LQiF6aZfnNgxerxWJRbxw,0.603,0.827,-7.372,0.0714,0.0453,0.619,0.0833,0.311,268307,27.30218,0
I Love Acid,Luke Vibert,spotify:track:1LQmyPcWxfN7yih7FYUNXe,0.804,0.872,-7.931,0.052,0.00595,0.521,,0.856,259027,34.8959,0
Black Rock,The Infamous Stringdusters,spotify:track:1LR2pHbA2MpfC6CGo0Yaxq,0.596,0.749,-9.537,,0.632,0.959,0.092,0.933,211640,39.79587,0
Done For Me,Charlie Puth Featuring Kehlani,spotify:track:1lsBTdE6MGsKeZCD6llNu7,0.856,0.632,-3.692,,0.193,0,0.0688,0.697,180493,45.65712,1
Eight,Sleeping At Last,spotify:track:1lSnBlAErRss6asu9Y5HuA,,0.287,-10.683,0.0386,0.586,0,0.1,0.423,250150,40.12363,0
(I Know) A Girl Called Jonny,Rowland S. Howard,spotify:track:1lU9JPt5Gq8bSRZbh0o4I8,0.604,0.557,-7.939,0.0303,0.0757,0.376,0.113,0.21,231373,30.63433,0
De Kinderballade,Boudewijn de Groot,spotify:track:1LwIGBDEtLGsvFBaqT6Obl,0.361,0.244,-10.678,,0.816,1.84E-05,0.088,0.366,253533,43.31302,0
Island In the Sun (with Bob Corman's Orchestra & Chorus) - Remastered,Harry Belafonte,spotify:track:1LwiLaTNil77rWF2BmBrjv,0.453,0.329,-16.17,,0.914,0.00226,0.102,0.655,166867,43.75333,0
Paradox Garage,FaltyDL,spotify:track:1LXAogXzkfGauEWDX0qK0s,0.734,0.84,-8.341,,0.000186,0.934,,0.085,290772,32.54601,0
Down In The DM,Yo Gotti Featuring Nicki Minaj,spotify:track:1LxKKYsJNPeBdOwdudsJzv,0.776,0.662,-7.016,0.0489,0.00157,2.10E-05,0.0887,0.324,182733,20.01709,1
"December, 1963 (Oh, What a Night) - 2006 Remaster",Frankie Valli & The Four Seasons,spotify:track:1lXZFi0khsqj7cJMamc9Op,0.728,0.592,-9.518,,0.0569,3.23E-06,0.0409,0.965,200427,55.56276,0
The Land of Hope and Glory,Turisas,spotify:track:1lyo0434TNjPiDmpjVTskd,0.176,0.826,-6.586,0.0871,0.0025,0.692,0.255,0.384,382173,43.33838,0
Be With You,Enrique Iglesias,spotify:track:1lZ4j5WBURBwZ0M5TT46wP,0.69,0.871,-5.484,0.0329,0.0359,0.000843,,0.561,220160,42.31468,1
If The Boot Fits,Granger Smith,spotify:track:1LZNdHSaGjV2S9q8BrZwnh,0.528,0.928,-5.743,,0.0252,2.88E-06,0.0467,0.885,170093,39.92326,1
Shindo-kaku,ASIAN KUNG-FU GENERATION,spotify:track:1lzVhHihby5uHDwml2ApDr,0.323,0.953,-4.278,,1.62E-05,0.377,,0.576,147200,21.98975,0
Allehelgens Dod I Helveds Rike,Dimmu Borgir,spotify:track:1m09qMhjcjpo4mz4RF3Inv,0.0744,0.974,-3.172,0.0969,1.75E-05,0.304,0.452,0.0609,333893,85.98212,0
Plus que du metal,Mass Hysteria,spotify:track:1M1qshhfaD1HU8p7lIzwNL,0.471,0.981,-3.86,,0.000785,0.000143,,0.191,219770,28.07024,0
I Wanna Know,Joe,spotify:track:1m2xMsxbtxv21Brome189p,0.725,0.487,-5.959,0.0368,0.26,1.09E-05,0.431,0.599,296693,30.12501,1
Stone Cold Metal,Ensiferum,spotify:track:1m3ScYyNwddbSa2mI2IGbd,0.522,0.947,-6.684,,0.00161,0.344,0.149,0.266,445480,63.16299,0
667,GOBLIN KING,spotify:track:1M4D3aQPxo4ow8lAPBnlHz,0.522,0.942,-5.219,0.0643,0.00127,0.000128,,0.294,266769,37.87006,0
Adore You,Harry Styles,spotify:track:1M4qEo4HE3PRaCOM7EXNJq,0.676,0.771,-3.675,,0.0237,7.00E-06,0.102,0.569,207133,38.87144,1
Omanappuzha,Vineeth Sreenivasan,spotify:track:1m63v7y6MyS79ErED9fnwj,0.701,0.71,-4.125,0.0379,0.252,0,,0.962,256080,26.58475,0
Glitter In The Air,P!nk,spotify:track:1M6dQ8MZQnYxjH8yZzswQt,0.511,0.255,-12.036,,0.897,0.000219,,0.296,227813,49.0424,1
Goodbye Time,Blake Shelton,spotify:track:1M9qgq0SaZ5OuAeU0GKXif,0.51,0.348,-7.849,0.0261,0.295,2.47E-05,,0.159,201733,62.27506,1
Pass That Dutch,Missy Elliott,spotify:track:1MaI6NwdrqnE3mRzOYTpoo,0.899,0.645,-11.621,0.271,0.0435,0.101,,0.348,217200,59.31261,1
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,spotify:track:1MaqkdFNIKPdpQGDzme5ss,0.521,0.702,-5.189,0.0331,0.189,0,0.0962,0.25,242840,22.62452,1
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,spotify:track:1MaqkdFNIKPdpQGDzme5ss,0.521,0.702,-5.189,,0.189,0,,0.25,242840,22.62452,1
Summer Love,Justin Timberlake,spotify:track:1MBM7CyZbwJpVbbZJnHHRg,0.606,0.591,-7.228,0.087,0.0756,0,0.328,0.477,252973,58.37948,1
There You Are,Martina McBride,spotify:track:1MdhH5wlGMrdL62L3vsqQz,0.343,0.434,-7.072,,0.648,0,,0.14,204627,38.10473,1
Airwave - Album Cut,Rank 1,spotify:track:1MDkMu6fH1IIpkH3jxDT3j,0.483,0.808,-10.662,,0.00272,0.102,0.348,0.0388,299827,27.60052,0
How Great Is Our God,Holy Communion Instrumental Duo,spotify:track:1mDMzqQCEYLVIdPPyqiVFp,0.504,0.111,-17.733,0.0433,0.97,0.924,,0.191,221820,35.85664,0
Doin' What She Likes,Blake Shelton,spotify:track:1MDogqDrStFSO9cdUTUFem,0.581,0.767,-6.28,,0.157,0,,0.832,222613,23.50314,1
Viva La Vida,Coldplay,spotify:track:1mea3bSkSGXuIRvnydlB5b,0.485,0.619,-7.115,,0.0941,3.31E-06,0.109,0.416,242373,29.21786,1
Metal,Chris Duke and the Royals,spotify:track:1Mg0m8LWtLlnhACkEuRZpT,0.575,0.926,-6.964,,0.000614,0.587,0.0749,0.732,72584,27.28787,0
All Around The World,Justin Bieber Featuring Ludacris,spotify:track:1Mg8vLBYwizu7AuhYQO64V,0.689,0.816,-3.951,0.178,0.019,2.42E-06,0.181,0.775,244547,,1
Go Girl,Pitbull Featuring Trina & Young Bo$$,spotify:track:1MgM0WDaoQ2A3bnIQTR6ty,0.986,0.597,-6.809,0.308,0.145,2.18E-06,,0.761,229669,25.22296,1
Tell Your Friends,The Weeknd,spotify:track:1mhVXWduD8ReDwusfaHNwU,0.565,0.454,-11.091,0.0461,0.265,0,0.181,0.312,334333,40.9389,1
On the Beach (Mix Cut) - Mauro Picotto's CRW Remix,York,spotify:track:1MI8FThGX7Vn0ZIjeDhbPD,0.605,0.897,-10.236,,0.00156,0.277,0.0682,0.258,158328,45.84707,0
You'll Always Be Loved By Me,Brooks & Dunn,spotify:track:1migZXJuB0tB2pFucCtEm5,0.672,0.658,-6.563,,0.2,2.49E-05,0.294,0.569,181840,23.27084,1
She Let Herself Go,George Strait,spotify:track:1mIQiN9xMz58kfQO6wjOeX,0.659,0.572,-7.817,0.0252,0.0888,1.08E-05,,0.386,198213,28.14129,1
All I Want To Do,Sugarland,spotify:track:1mJ05BN0So26a14iib85aI,0.709,0.725,-4.999,0.0556,0.208,4.54E-05,0.158,0.759,213360,28.35802,1
Want To,Sugarland,spotify:track:1mJ05BN0So26a14iib85aI,0.709,0.725,-4.999,0.0556,0.208,4.54E-05,0.158,0.759,213360,28.35802,1
Some Girls (Dance With Women),JC Chasez Featuring Dirt McGirt,spotify:track:1mJkU57DxmxPrjd3l91HDD,0.872,0.838,-6.687,,0.055,0,,0.932,272093,44.39378,1
Just Give Me A Reason,P!nk Featuring Nate Ruess,spotify:track:1mKXFLRA179hdOWQBwUk9e,0.778,0.547,-7.273,0.0489,0.346,0.000302,0.132,0.441,242733,30.15866,1
Symbolic,Death,spotify:track:1mky5yS3UEpwpRkdFQhYMj,0.364,0.982,-7.034,,6.65E-05,0.0124,0.163,0.127,392800,27.75269,0
Antichrist Assault,Blasfemia,spotify:track:1mloDx6BNYV8LMOe3iI4yA,0.235,0.966,-5.972,,2.13E-05,0.926,,0.198,265925,79.48812,0
Building Bridges,Brooks & Dunn With Sheryl Crow & Vince Gill,spotify:track:1mLStmTgqH0nBzds3S4jkJ,0.677,0.77,-4.245,,0.00717,1.04E-05,0.0425,0.686,262867,53.34801,1
But Rich Rhythms,The Bahama Soul Club,spotify:track:1MmkqcdRRni9IBS5JHp3ux,0.739,0.861,-8.467,0.0372,0.0405,0.855,0.0526,0.69,395080,25.90264,0
When It Rains It Pours,Luke Combs,spotify:track:1mMLMZYXkMueg65jRRWG1l,0.551,0.801,-5.069,,0.013,6.03E-06,,0.625,240760,55.09003,1
A House Is Not A Home,Rob White,spotify:track:1mMrw0Kapu4aR5AJ5I6BAT,0.38,0.442,-6.782,0.029,0.234,0.465,0.146,0.0557,433627,19.33206,0
God Bless The USA,Lee Greenwood,spotify:track:1MnebCPkLm11EGCnrusLPu,0.368,0.45,-7.121,0.0276,0.156,0,,0.184,196933,39.13522,1
1 Thing,Amerie,spotify:track:1mnqraQ8oV8MX92rdOFLWW,0.612,0.961,-3.078,0.333,0.107,4.17E-05,0.0413,0.867,238760,19.72778,1
Lucky 4 You (Tonight I'm Just Me),SHeDAISY,spotify:track:1mpWPva1J4iAzM6mvfeSCF,0.566,0.718,-6.371,0.0292,0.206,0,0.223,0.503,240600,35.88652,1
Sacred Serenity,Death,spotify:track:1MQqjaLSlWS72hRSoamcvA,0.451,0.989,-6.298,0.0679,1.28E-05,0.401,0.0455,0.317,267013,26.02914,0
Money,LEISURE,spotify:track:1mqxC4tqJgSNdIy1sj5kFR,0.817,0.48,-8.529,,0.021,0.538,0.0723,0.79,239000,32.6873,0
Thunder,Boys Like Girls,spotify:track:1MrNveiYvWyKNAMiqn8xS8,0.508,0.821,-5.279,,0.223,0,,0.463,236680,40.37513,1
Cecilia And The Satellite,Andrew McMahon In The Wilderness,spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq,0.381,0.844,-7.123,0.144,0.0131,0,0.318,0.239,223880,22.54234,1
Sure Thing,St Germain,spotify:track:1msXkHv84LKikJGKcfdGBu,0.772,0.451,-12.242,0.0551,0.501,0.7,0.213,0.558,380498,33.60409,0
Someday Out Of The Blue,Elton John,spotify:track:1MtLyoONKfK41bQONcARsn,0.571,0.83,-6.757,,0.265,0,0.0764,0.483,287933,32.09843,1
Behind Blue Eyes,Limp Bizkit,spotify:track:1MTQHCpraD4S8g5PAFKzoj,0.595,0.489,-6.66,0.0271,0.497,0,,0.0902,269973,35.94478,1
I Took A Pill In Ibiza,Mike Posner,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,0.663,0.713,-6.647,0.112,0.0353,7.68E-06,,0.69,197933,58.59378,1
In The Morning - Lost Love Dub,Monique Bingham,spotify:track:1mtYYMYtaTuhXhIm222tKt,0.798,0.816,-6.019,0.0754,7.33E-05,0.796,,0.548,215748,15.4253,0
Infant Eyes,Wayne Shorter,spotify:track:1mVrrhxrHAzzUu83NpjrXN,0.247,0.0119,-21.038,0.0483,0.988,0.704,,0.132,414840,44.57116,0
The Call,Backstreet Boys,spotify:track:1mxTCArq9EhSg4QPGqhjhT,0.696,0.874,-3.318,,0.117,0,,0.747,204800,22.34773,1
Chances,Five For Fighting,spotify:track:1MzlQlMCHU4zSyHjVGbMln,0.401,0.802,-5.646,0.0291,0.0236,0,0.224,0.326,215200,36.08504,1
The Book of Love,The Monotones,spotify:track:1N131UBLlYAUJNVpHOfEc1,0.428,0.594,-12.716,0.379,0.734,0,0.567,0.556,138298,23.1054,0
No Good Place For The Lonely,Joe Bonamassa,spotify:track:1N1dVl208WmkZJ1MtLkBc3,0.303,0.802,-4.552,0.0319,0.000447,0.249,,0.489,518533,37.15217,0
Try Everything,Shakira,spotify:track:1N3dZ7TTWO6VcD4Y3hHYLZ,0.705,0.609,-4.897,0.0307,0.0257,0,0.0846,0.476,196853,50.76423,1
Cat Daddy,Rej3ctz,spotify:track:1N4jhCFeE0hrZGYfpJsSAF,0.872,0.719,-8.663,,0.0121,1.01E-06,0.246,0.32,200803,41.94511,1
Over My Head (Cable Car),The Fray,spotify:track:1N62wozuHCvczCkY4QidpP,0.592,0.729,-4.156,,0.022,0,0.0653,0.709,236267,36.17968,1
Boston,Edo. G,spotify:track:1n6YasJJW0Lo1MRywx3JYV,0.568,0.913,-4.719,0.371,0.0746,0.191,0.189,0.776,201533,31.09368,0
Came Here To Forget,Blake Shelton,spotify:track:1N7qGCKRRnvjoy8MGyHgpS,0.613,0.667,-6.874,,0.356,1.29E-05,0.111,0.481,220413,21.91682,1
Mera Dil Badal De,Junaid Jamshed,spotify:track:1N7ukzKMQltMpI2WZSSwly,0.533,0.254,-10.747,,0.9,2.98E-05,,0.411,384501,19.59132,0
Waltz,Sergio Díaz De Rojas,spotify:track:1N8QlsZ8q16cmdGqlKVWpv,0.463,0.0904,-25.123,0.0459,0.995,0.944,,0.122,108002,40.10662,0
Sen No Yoru Wo Koete,Aqua Timez,spotify:track:1N96Zrw2aAQVA9baB0gXPq,0.377,0.777,-3.784,,0.0422,0,0.118,0.519,293187,36.70331,0
Bad Seeds,Tomorrows Bad Seeds,spotify:track:1nAowDnk4GGdV4YsE08wd7,0.758,0.565,-7.74,0.237,0.0658,0,0.218,0.446,166400,22.59371,0
My Place,Nelly Featuring Jaheim,spotify:track:1NAyvpW70a9lxY0YlLWFV4,0.6,0.641,-4.237,,0.0498,1.49E-06,0.0982,0.642,336507,35.41432,1
The Arms of Death,Satanika,spotify:track:1nbjVYvB14tMDmjutguEU4,0.531,0.994,-5.561,0.148,0.000356,0.914,0.139,0.411,245213,45.55969,0
Remember When,Alan Jackson,spotify:track:1nCSr7oGeUv7sUEoYuAJFF,0.558,0.314,-10.623,,0.709,0.000319,0.193,0.267,271280,86.75239,1
The Zephyr Song,Red Hot Chili Peppers,spotify:track:1ndGB6rvxKYN9seCYO1dTF,0.725,0.803,-4.083,,0.013,3.66E-05,0.0891,0.403,231933,51.98036,1
We Bow Down - House Of Worship Album Version,Twila Paris,spotify:track:1ndgznWWOwAHYk4WtrVxBi,0.242,0.742,-6.745,,0.514,0,0.156,0.56,171966,145.5207,0
The Unanswered Question,Charles Ives,spotify:track:1NDVVbYj6YWkPbW5OpnCV4,0.169,0.00183,-39.286,,0.293,0.836,0.117,0.04,341893,38.99331,0
Train Of Flesh,Turbonegro,spotify:track:1NFpRYJOMia6XBjYnWXPLI,0.083,0.969,-3.083,,0.00967,0.386,0.379,0.229,143693,22.73141,0
A Pretty Girl Is Like A Melody,Jackie Gleason,spotify:track:1ng2Dr2fikF0WlSMowyMFS,0.124,0.0642,-22.157,,0.94,0.975,0.123,0.151,198147,33.67879,0
No Other Name,Holy Communion Instrumental Duo,spotify:track:1nGEj2zjmZjbDZa9ubgNL0,0.516,0.0443,-21.661,0.0476,0.986,0.931,0.108,0.206,289909,29.82146,0
For Real,Okkervil River,spotify:track:1ngO8bxeqcrXYzQlif1x1L,0.35,0.59,-7.076,,0.486,0.000778,0.107,0.457,282627,41.20819,0
Juice Remix,Ycee,spotify:track:1NGvgncIB1kIDSEUWNV0Bg,0.79,0.732,-3.599,0.0844,0.609,2.87E-05,0.118,0.785,250985,42.86195,0
The Rock Garden,Bedlam Bards,spotify:track:1NHg2X4rYUFIkEJdMSz5Yj,0.585,0.109,-24.096,,0.875,0.826,0.101,0.408,59907,35.89846,0
"Aapka Makan Bahut Achha Hai - From ""Hum Pyar Tumhi Se Kar Baithe""",Alka Yagnik,spotify:track:1nIlCDehWfOv25rOh8mooM,0.801,0.585,-10.081,,0.0567,0.000832,,0.733,235253,39.43403,0
Laughed Until We Cried,Jason Aldean,spotify:track:1nJlb0ZE6uZHk7D8YS7353,0.547,0.485,-5.368,,0.467,0,,0.243,202520,21.08091,1
Sex Ain't Better Than Love,Trey Songz,spotify:track:1NJoVAf6HvRbAMH1Py2XmN,0.505,0.794,-3.682,,0.152,0,,0.422,263933,20.79817,1
Bad Blood,Only Living Witness,spotify:track:1njPDwdWC9N5BdxpT9ohvL,0.357,0.782,-10.469,0.121,8.19E-06,0.466,,0.347,155960,68.14334,0
Project Wakeup,I See Stars,spotify:track:1nJvtoK4O281tSPgFKPIab,0.297,0.966,-5.981,0.141,0.00014,0,0.341,0.2,145853,49.16776,0
Constant Like the Northern Star,Desiderii Marginis,spotify:track:1nKn8y1fzAjtjER2PcUV1L,0.192,0.44,-10.735,0.0329,0.84,0.728,,0.0494,446893,32.30815,0
Battlefield,Jordin Sparks,spotify:track:1Nme6K1PYAh7p7uygyuRdf,0.613,0.634,-3.472,,0.0178,0,0.0719,0.37,241348,20.53229,1
With the Wind,Josh Lee Hamilton,spotify:track:1NMzAJgIlpUvhqc5VMXuIp,0.682,0.407,-10.822,,0.76,0.0014,0.0678,0.285,244867,25.50071,0
Wifey,Next,spotify:track:1NNDZc9BHaWe9JqIsPRlNV,0.831,0.713,-6.967,,0.0678,0,,0.683,243467,19.90275,1
Send Me An Angel,Thrice,spotify:track:1nNIJRkc6dUsjdLs9nk2lH,0.259,0.946,-3.784,,7.55E-06,0.165,0.0924,0.563,204200,36.44999,0
Dietro casa,Ludovico Einaudi,spotify:track:1NNrdT3dU1hHmyVSLdV7JO,0.385,0.0944,-28.817,,0.986,0.869,,0.0289,233467,45.16532,0
Smashing the Traitors,Lugubre,spotify:track:1nokuRjMsVym3hIjX48Z7v,0.1,0.992,-3.379,,1.42E-06,0.941,0.139,0.0334,333467,46.33427,0
Scene 2 - Mental Decay,The Residents,spotify:track:1npkwA4w9TK03vypSujHZd,0.495,0.532,-7.948,,0.877,1.24E-06,,0.229,176947,31.7834,0
Crusaders,Harry Gregson-Williams,spotify:track:1NpSdOfFA7XPpEKlTV4OTr,0.443,0.173,-21.11,,0.409,0.967,0.0993,0.0348,100467,78.34649,0
Wild Ones,Flo Rida Featuring Sia,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,0.608,0.86,-5.324,,0.0991,0,0.262,0.437,232947,61.07053,1
Urho,Heavy Metal Perse,spotify:track:1NqNas2oaGRF2imQplpGUX,0.36,0.943,-7.444,0.0383,2.42E-05,0.00341,0.034,0.549,211332,35.40112,0
Apologize,Timbaland Featuring OneRepublic,spotify:track:1NrJYpdAi7uosDRPmSYrsG,0.593,0.74,-6.12,,0.363,2.22E-05,0.102,0.502,208107,30.48457,1
A Woman's Worth,Alicia Keys,spotify:track:1NRorokmYEtr1koWybvaE4,0.667,0.41,-8.323,0.138,0.331,0,0.064,0.493,303333,29.98661,1
Call My Name,Prince,spotify:track:1NtMkOgf5U9YMaXyuEIRn2,0.622,0.574,-5.068,,0.685,0,,0.405,315773,59.07282,1
Ik haat Jazz - Live @ Graspop Metal Meeting '18,Fleddy Melculy,spotify:track:1ntqPFzbMG25zl38pvgn4S,0.396,0.936,-4.436,,2.85E-05,0.27,0.647,0.17,147173,74.05515,0
Hopeful Shivering,Apocryphal,spotify:track:1nTrGqFfOubot9Vh6rt6cb,0.547,0.647,-9.015,0.0371,0.124,0.00752,0.104,0.182,392375,50.51804,0
Vital Signs,Midnight Juggernauts,spotify:track:1ntwvHaWTJwK0zEkxkAjpI,0.606,0.721,-6.69,0.0388,6.51E-05,0.531,0.259,0.192,323920,95.34371,0
